Tmin (C ),Subcooling  (oC),System pressure (MPa),Material ,L/D,_f,_w,_f/_w
279.4366197,0,0.1,Stainless steel,5,2744237.67,47857410,0.05734196
389.8591549,10.00105195,0.1,Stainless steel,5,2743238.835,47857410,0.057321089
547.6056338,20.02618199,0.1,Stainless steel,5,2740826.507,47857410,0.057270682
671.5492958,29.88884343,0.1,Stainless steel,5,2736964.233,47857410,0.057189978
727.8873239,39.84150546,0.1,Stainless steel,5,2731450.957,47857410,0.057074776
275,0,0.1,Stainless steel,5,2744237.67,47857410,0.05734196
275,0,0.1,Cu,5,2744237.67,1379121205,0.001989845
295,0,0.1,Zr,5,2744237.67,23374985,0.117400617
487.9065834,15.5,0.1,Zirconium,5,2742097.639,23374985,0.117309065
323.5688264,0,0.1,Zirconium,5,2744237.67,23374985,0.117400617
551.0300113,0,0.5,Zirconium,5,2692469.331,23374985,0.115185928
323.8636364,0,0.1,zirconium,5.1,2744237.67,23374985,0.117400617
551.3636364,0,0.5,zirconium,5.1,2692469.331,23374985,0.115185928
330.0675454,0,0.1,zirconium,5.1,2744237.67,23374985,0.117400617
493.1897174,15,0.1,zirconium,5.1,2742219.445,23374985,0.117314276
434.5924323,0,0.1,Zr2O,5.1,2744237.67,5168800,0.530923555
596.1308938,15,0.1,Zr2O,5.1,2742219.445,5168800,0.530533092
433.0316742,0,0.1,Zr2O,5.1,2744237.67,5168800,0.530923555
624.6606335,0,0.5,Zr2O,5.1,2692469.331,5168800,0.520908012
326.8760686,0,0.098,Zirconium,5.15,2744187.933,23374985,0.11739849
411.8092794,0,0.172,Zirconium,5.15,2739365.242,23374985,0.117192171
430.8289272,0,0.209,Zirconium,5.15,2734619.154,23374985,0.11698913
453.7798014,0,0.21,Zirconium,5.15,2734482.448,23374985,0.116983281
469.8042291,0,0.246,Zirconium,5.15,2729388.831,23374985,0.116765373
476.8729486,0,0.296,Zirconium,5.15,2722309.116,23374985,0.116462497
493.8371266,0,0.298,Zirconium,5.15,2721726.272,23374985,0.116437562
490.8624986,0,0.309,Zirconium,5.15,2721016.492,23374985,0.116407197
511.9544643,0,0.392,Zirconium,5.15,2707891.356,23374985,0.115845694
514.9665326,0,0.404,Zirconium,5.15,2706088.107,23374985,0.115768549
515.9886514,0,0.419,Zirconium,5.15,2703918.624,23374985,0.115675737
523.9933772,0,0.432,Zirconium,5.15,2703004.769,23374985,0.115636642
549.0577537,0,0.504,Zirconium,5.15,2692452.899,23374985,0.115185225
548.0768191,0,0.514,Zirconium,5.15,2690538.241,23374985,0.115103314
561.0610983,0,0.522,Zirconium,5.15,2689470.845,23374985,0.11505765
554.1234197,0,0.55,Zirconium,5.15,2685638.378,23374985,0.114893694
570.2096238,0,0.623,Zirconium,5.15,2675989.397,23374985,0.114480903
328.2973621,0.067178503,0.1,Zirconium,5.15,2744235.415,23374985,0.117400521
341.4868106,4.568138196,0.1,Zirconium,5.15,2743948.996,23374985,0.117388268
