T_env,T_comp_in,P_comp_in,T_comp_out,P_comp_out,T_inj,P_inj,m_dot_R,m_dot_inj,m_ratio,Q_dot_comp_loss_VI,W_dot_comp,eta_VI,f_loss_VI
[K],[K],[kPa],[K],[kPa],[C],[kPa],[kg/s],[kg/s],[-],[kW],[kW],[-],[-]
308.2,288.9,537.5,342.5,1473,291.2,837.3,0.08003,0.00887,0.110833437,97.20045,3541,0.6187,0.02745
308.7,275.2,327.5,348.3,1434,279.8,581.6,0.04822,0.01023,0.212152634,92.30724,3204,0.645,0.02881
308.2,283.6,443.9,350.6,1698,288.6,771,0.06536,0.01289,0.197215422,111.5296,3830,0.6553,0.02912
308.2,289,533.5,348.9,1717,293,881.6,0.07877,0.01258,0.159705472,117.0793,3985,0.6454,0.02938
308.2,289.1,538.2,353.9,1948,294.9,932.7,0.07903,0.01585,0.200556751,184.51994,4426,0.6549,0.04169
308.2,281.1,404.4,359,1945,288.4,766.7,0.0587,0.01576,0.268483816,164.11924,4243,0.6469,0.03868
308.3,277.9,365.2,360.7,1944,286.3,717.3,0.05287,0.01577,0.298278797,169.596,4200,0.6356,0.04038
308.2,291.8,591,365.2,2544,301.6,1133,0.08513,0.02487,0.292141431,373.2792,5712,0.6418,0.06535
308.3,283.4,444.2,362.6,2174,292.3,860.4,0.06395,0.01882,0.294292416,243.9204,4740,0.6433,0.05146
308.3,286.3,489.7,360.8,2190,294.5,921.6,0.07076,0.0193,0.272752968,238.93526,4826,0.6497,0.04951
308.2,291.8,591.8,359.1,2221,299.1,1048,0.08609,0.01941,0.225461726,336.28966,5026,0.6535,0.06691
