T_env [K],T_suc [K],P_suc [kPa],T_dis [K],P_dis [kPa],T_inj [K],P_inj [kPa],x_inj [-],h_inj [kJ/kg],m_suc [kg/s],m_inj [kg/s],m_tot [kg/s],Q_loss [kW],W_comp [kW],f_loss [%]
324.8,293.81,746.7,375.95,3176,310.09,1428,0.9616,417.6,0.1045,0.03281,0.13731,0.1085,7.517,1.443
324.8,294.13,747.6,372.77,3178,311.47,1498,0.8791,404.6,0.1045,0.03691,0.14141,0.0958,7.627,1.256
324.8,294.53,749.6,368.64,3186,313.21,1588,0.781,389.4,0.104,0.04302,0.14702,0.07421,7.806,0.9507
319.2,289.97,626.8,369.43,2738,303.86,1206,0.9594,415.1,0.08957,0.02782,0.11739,0.08377,6.316,1.326
319.3,290.26,628.4,366.22,2748,305.19,1266,0.8807,402,0.08987,0.03117,0.12104,0.06175,6.405,0.964
319.3,290.67,629.9,361.63,2753,306.45,1329,0.7787,385.8,0.0898,0.03561,0.12541,0.04182,6.526,0.6408
313.7,289.69,613.6,362.84,2434,301.19,1118,0.964,415.2,0.08956,0.02341,0.11297,0.03685,5.583,0.66
313.7,289.9,615,359.58,2431,302.35,1170,0.8807,401.3,0.08996,0.0263,0.11626,-0.004929,5.636,-0.08746
313.7,290.67,615.7,355.95,2446,303.3,1220,0.7804,384,0.08981,0.0297,0.11951,-0.01587,5.734,-0.2767
308.1,290.23,624.4,355.14,2151,299.25,1061,0.9463,411.4,0.09334,0.01886,0.1122,-0.000293,4.958,-0.005909
308.1,290.24,624.8,353.33,2165,300.01,1096,0.8812,399.8,0.09346,0.02069,0.11415,-0.01722,5.019,-0.3432
308.2,290.91,623.6,350.36,2168,300.61,1132,0.7792,382.7,0.09312,0.02303,0.11615,-0.04526,5.068,-0.8931
302.6,286.78,530.3,349.88,1827,293.69,898.8,0.9696,412.9,0.08026,0.01498,0.09524,0.07434,4.208,1.766
302.6,287.27,529.1,347.76,1831,294.01,920.4,0.8849,398.1,0.08018,0.01617,0.09635,0.05296,4.228,1.253
302.6,287.92,528,344.57,1831,294.4,947.8,0.7796,379,0.07988,0.01783,0.09771,0.03746,4.255,0.8804
297,288.43,533.9,351.18,1822,292.79,875.6,0.9654,411.8,0.08067,0.01269,0.09336,0.05921,4.136,1.432
297,288.36,532.4,348.86,1824,293.02,895.1,0.878,396,0.08062,0.01384,0.09446,0.03402,4.154,0.819
297,288.58,531.3,345.97,1827,293.37,919.4,0.7803,378.6,0.08049,0.01532,0.09581,0.01738,4.178,0.416
301,289.86,614.4,346.9,1822,296.69,987.8,0.9334,407.8,0.09348,0.01397,0.10745,0.01606,4.291,0.3743
300.9,290.09,613.3,345.93,1820,296.83,999.2,0.8886,399.8,0.09337,0.01459,0.10796,0.00965,4.294,0.2247
300.9,290.55,612.7,343.43,1825,297.29,1030,0.7813,381.3,0.09319,0.01624,0.10943,-0.01388,4.322,-0.3212
300.9,288.98,549.8,348.43,1765,293.91,907.3,0.953,410,0.08315,0.0139,0.09705,0.06723,4.108,1.637
300.9,289.29,548.4,346.72,1766,294.24,927.2,0.8828,397.6,0.0831,0.01489,0.09799,0.05138,4.123,1.246
300.9,289.85,547.6,343.75,1769,294.6,953.5,0.7787,379,0.08288,0.01644,0.09932,0.04918,4.152,1.185
308.1,283.2,445.4,366,2221,298.2,859.1,100,424.1,0.06426,0.01814,0.0824,0.24686505,4.815,5.127
308.4,286.2,488.1,363.5,2221,296.2,813.6,100,423.1,0.07031,0.0189,0.08921,0.2862099,4.87,5.877
308.1,291.8,591.6,360.4,2222,301,935.6,100,425.3,0.08618,0.01812,0.1043,0.31138672,5.003,6.224
308.3,283.3,444,351.2,1690,289.8,661.9,100,420.3,0.06577,0.0121,0.07787,0.17813476,3.812,4.673
308.5,288.9,538.5,348.5,1686,294.8,775.7,100,422.6,0.08013,0.01134,0.09147,0.19232455,3.929,4.895
308.3,275.2,329.6,350.8,1460,286,584.7,100,418.4,0.04838,0.00983,0.05821,0.12693641,3.239,3.919
308.2,289,536.4,343.3,1459,296.9,830.9,100,423.4,0.08013,0.00756,0.08769,0.14343597,3.501,4.097
308.3,289.2,539.2,355.6,1934,300.2,915.6,100,424.9,0.07938,0.01361,0.09299,0.21115377,4.369,4.833
308.3,280.3,403.3,360.7,1938,293.5,753.6,100,421.8,0.05897,0.01436,0.07333,0.19385928,4.218,4.596
308.3,277.9,364.7,363.5,1938,291.7,703.9,100,421.1,0.05292,0.01436,0.06728,0.20347551,4.179,4.869
308.2,292,593.6,368,2518,306.4,1095,100,427.4,0.08543,0.02117,0.1066,0.32594804,5.588,5.833
308.2,286.4,496,367.3,2219,316.8,806.6,100,443.9,0.07202,0.00909,0.08111,0.2325724,4.58,5.078
308.1,283.5,449.5,370.3,2217,317,766.3,100,444.8,0.0648,0.01034,0.07514,0.23398949,4.571,5.119
308.1,291.7,596.5,362.6,2214,316.2,916.3,100,441.4,0.08728,0.00804,0.09532,0.2328768,4.68,4.976
307.8,274.1,329.9,380.5,2216,318,662.1,100,447.5,0.0466,0.01262,0.05922,0.26419728,4.484,5.892
308,275,328.4,354,1455,301.1,552.9,100,433.5,0.048,0.00707,0.05507,0.1141748,3.154,3.62
307.9,277.7,366.9,350.8,1457,300.9,600.7,100,432.4,0.05397,0.00696,0.06093,0.10853678,3.214,3.377
307.9,280.7,402.4,348.9,1450,300.6,626.2,100,431.6,0.05936,0.00557,0.06493,0.10519102,3.209,3.278
307.9,283.2,445.5,346.5,1457,300.4,681.2,100,430.3,0.06608,0.00543,0.07151,0.10794454,3.278,3.293
307.5,285.4,492.3,344.5,1461,300.3,739.9,100,428.9,0.07331,0.00521,0.07852,0.10635716,3.353,3.172
307.5,288.2,538.5,342.8,1445,300,798.2,100,427.4,0.08045,0.00496,0.08541,0.11209482,3.403,3.294
307.4,286.2,494.1,359.4,1940,311.2,766.5,100,439.2,0.07229,0.00685,0.07914,0.17455205,4.085,4.273
