"T_db,in (C )","T_wb,in (C )","T_db,out (C )","T_wb,out (C )",T_sub (C ),T_sup (C ),T_cond (C ),T_evap (C ),Ref type,Q (kW),W_tot (kW),COP
26.7,19.4,48,23.9,8.4,10.71,62.3,5.7,R22,7.533,3.11,2.422
26.7,19.4,48,23.9,4.42,25.39,56.92,-5.39,R22,6.916,3.45,2.005
26.7,19.4,35,23.9,7.99,5.05,45.69,1.15,R22,6.289,2.178,2.887
26.7,19.4,46,23.9,4.4,4.27,54.92,2.9,R22,5.329,2.55,2.09
26.7,19.4,48,23.9,0.52,8.4,56.92,-2.3,R22,11.579,6,1.93
26.7,19.4,35,23.9,2.98,4.73,50.78,0.57,R22,8.316,3.02,2.754
26.7,19.4,48,23.9,3.62,18.85,55.52,0.65,R22,7.163,3.21,2.231
26.7,19.4,35,23.9,6.39,21.41,45.69,-4.61,R22,10.965,3.51,3.124
26.7,19.4,48,23.9,4.98,15.07,55.98,-0.97,R22,10.111,3.91,2.586
26.7,19.4,35,23.9,4.63,12.75,48.93,1.15,R22,7.652,3.07,2.492
26.7,19.4,46.1,23.9,3.81,8.15,60.11,3.95,R22,6.598,3.28,2.011
26.7,19.4,46.1,23.9,3.41,8.11,58.61,3.29,R22,9.38,4.3,2.181
26.7,19.4,46.1,23.9,6.31,8.12,57.71,2.38,R22,6.528,2.963,2.203
26.7,19.4,46.04,23.9,2.75,18.7,56.75,4.6,R22,7.26,3.345,2.17
26.7,19.4,46.1,23.9,1.63,17.65,57.43,3.95,R22,7.201,3.303,2.18
26.7,19.4,46.1,23.9,2.57,18.88,58.47,1.02,R22,5.705,2.95,1.934
26.7,19.4,46.15,23.9,0.59,13.56,58.79,0.74,R22,14.107,7.92,1.781
26.7,19.4,46.2,23.9,4.75,7.56,63.55,4.34,R22,4.664,2.7,1.728
26.7,19.4,46.17,23.9,3.62,6.93,59.72,3.17,R22,11.619,5.424,2.142
26.7,19.4,46.2,23.9,2.93,14.65,62.93,1.15,R22,14.453,7.933,1.822
26.7,19.4,46,23.9,2.51,6.92,58.11,2.78,R22,11.483,5.15,2.23
26.7,19.4,35,23.9,4.33,10.12,47.33,2.78,R22,27.635,10.76,2.568
26.7,19.4,46.1,23.9,5.12,8.78,57.02,4.72,R22,23.614,12.42,1.901
26.7,19.4,35,23.9,3.13,8.22,47.33,2.78,R22,28.832,10.71,2.692
26.7,19.4,46.1,23.9,3.92,8.48,57.02,4.72,R22,24.224,12.47,1.943
