Tmin (C ),Subcooling  (oC),System pressure (MPa),Material ,L/D,_f,_w,_f/_w,Tmin (Mori),Tmin (Adler),Tmin (Dhir),Tmin (Lauer),Tmin (Freud),Tmin (shikha_7),Tmin (shikha_8),Tmin (shikha_9),Tmin (Brenson),Tmin (Henry),Tmin (Perenson),Tmin (Shikha),Tmin (Sakurai),Tmin (Henry_1atm),Tmin (exp_1atm),Tmin (exp2_1atm),Tmin (ANN_1atm)
348.5817774,0,0.105597785,Zirconium,6.35,2744290.164,23000000,0.119316964,240,230,201,328.6,257.6,276,307,256,147.0437219,286.5810023,707.193953,355.5254221,491.0929325,230.4312317,279.4366197,279.4366197,318.84982
360.0601979,0,0.109019175,Zirconium,6.35,2744265.492,23000000,0.119315891,240,230,201,328.6,257.6,276,307,256,149.3281853,292.6196674,721.8231271,364.9919873,491.168335,250.3879425,389.8591549,389.8591549,456.0882
362.6109581,0,0.115861956,Zirconium,6.35,2744104.31,23000000,0.119308883,240,230,201,328.6,257.6,276,307,256,153.8185741,304.5259181,748.6099849,383.1055003,491.3206812,270.5436194,547.6056338,547.6056338,528.23047
365.7994082,0,0.119283346,Zirconium,6.35,2743974.174,23000000,0.119303225,240,230,201,328.6,257.6,276,307,256,156.0271443,310.3975713,760.9137957,391.7892206,491.3976319,290.508168,671.5492958,671.5492958,601.0375
387.4808693,0,0.098755005,Zirconium,6.35,2744208.753,23000000,0.119313424,240,230,201,328.6,257.6,276,307,256,142.3887152,274.321242,675.0211101,335.664712,490.9436512,310.777957,727.8873239,727.8873239,681.2965
390.6693195,0,0.105597785,Zirconium,6.35,2744290.164,23000000,0.119316964,240,230,201,328.6,257.6,276,307,256,147.0437219,286.5810023,707.193953,355.5254221,491.0929325,230.4312317,275,275,318.84982
397.0462198,0,0.098755005,Zirconium,6.35,2744208.753,23000000,0.119313424,240,230,201,328.6,257.6,276,307,256,142.3887152,274.321242,675.0211101,335.664712,490.9436512,193.0642791,275,275,294.20386
421.916131,0,0.098755005,Zirconium,6.35,2744208.753,23000000,0.119313424,240,230,201,328.6,257.6,276,307,256,142.3887152,274.321242,675.0211101,335.664712,490.9436512,275.3354217,295,295,343.5689
418.7276808,0,0.098755005,Zirconium,6.35,2744208.753,23000000,0.119313424,240,230,201,328.6,257.6,276,307,256,142.3887152,274.321242,675.0211101,335.664712,490.9436512,327.8235802,487.9065834,487.9065834,523.2909
413.6261606,0,0.098755005,Zirconium,6.35,2744208.753,23000000,0.119313424,240,230,201,328.6,257.6,276,307,256,142.3887152,274.321242,675.0211101,335.664712,490.9436512,275.3354217,323.5688264,323.5688264,343.5689
420.0030609,0,0.150075857,Zirconium,6.35,2741804.944,23000000,0.119208911,240,230,201,328.6,257.6,276,307,256,175.0001878,361.2107458,848.2972117,461.2584797,492.1141571,275.3354217,323.8636364,323.8636364,346.96777
417.4523008,0,0.150075857,Zirconium,6.35,2741804.944,23000000,0.119208911,240,230,201,328.6,257.6,276,307,256,175.0001878,361.2107458,848.2972117,461.2584797,492.1141571,275.3354217,330.0675454,330.0675454,346.96777
