Tmin (C ),Subcooling  (oC),System pressure (MPa),Material ,L/D,_f,_w,_f/_w,Tmin (Mori),Tmin (Adler),Tmin (Dhir),Tmin (Lauer),Tmin (Freud),Tmin (shikha_7),Tmin (shikha_8),Tmin (shikha_9),Tmin (Brenson),Tmin (Henry),Tmin (Perenson),Tmin (Shikha),Tmin (Sakurai),Tmin (Henry_1atm),Tmin (exp_1atm),Tmin (exp2_1atm),Tmin (ANN_1atm)
406.42,14.77437,0.1,Stainless steel ,2.67,2742273,51662145.6,0.0530809,350.807775,318.64622,319.19496,415.6653624,371.362649,419.311389,462.130885,359.42059,143.5580425,258.9014314,529.2135662,331.7535781,490.9706615,230.4312317,279.4366197,279.4366197,318.84982
355.42,9.926813,0.1,Stainless steel ,2.67,2743251,51662145.6,0.05309983,314.4510975,289.560878,280.414504,387.098709,334.0364601,372.2900861,411.2315365,325.487691,143.4545502,249.2839006,495.9843476,315.5758337,490.9706615,250.3879425,389.8591549,389.8591549,456.0882
297.43,4.497781,0.1,Stainless steel ,2.67,2743956,51662145.6,0.05311346,273.7333575,256.986686,236.982248,355.1054234,292.2329137,319.6284757,354.2267005,287.484467,143.3394193,238.5543078,458.8425388,297.477878,490.9706615,270.5436194,547.6056338,547.6056338,528.23047
296.11,1.904639,0.1,Stainless steel ,2.67,2744151,51662145.6,0.05311725,254.2847925,241.427834,216.237112,339.8240376,272.2657203,294.4749983,326.9987095,269.332473,143.2847095,233.445393,441.1313843,288.8416279,490.9706615,290.508168,671.5492958,671.5492958,601.0375
410.48,14.77437,0.1,Stainless steel ,2.67,2742273,51662145.6,0.0530809,350.807775,318.64622,319.19496,415.6653624,371.362649,419.311389,462.130885,359.42059,143.5580425,258.9014314,529.2135662,331.7535781,490.9706615,310.777957,727.8873239,727.8873239,681.2965
363.11,9.926813,0.1,Stainless steel ,2.67,2743251,51662145.6,0.05309983,314.4510975,289.560878,280.414504,387.098709,334.0364601,372.2900861,411.2315365,325.487691,143.4545502,249.2839006,495.9843476,315.5758337,490.9706615,230.4312317,275,275,318.84982
314.19,4.497781,0.1,Stainless steel ,2.67,2743956,51662145.6,0.05311346,273.7333575,256.986686,236.982248,355.1054234,292.2329137,319.6284757,354.2267005,287.484467,143.3394193,238.5543078,458.8425388,297.477878,490.9706615,193.0642791,275,275,294.20386
304.08,1.904639,0.1,Stainless steel ,2.67,2744151,51662145.6,0.05311725,254.2847925,241.427834,216.237112,339.8240376,272.2657203,294.4749983,326.9987095,269.332473,143.2847095,233.445393,441.1313843,288.8416279,490.9706615,275.3354217,295,295,343.5689
427.91,14.77437,0.1,Stainless steel ,2.67,2742273,51662145.6,0.0530809,350.807775,318.64622,319.19496,415.6653624,371.362649,419.311389,462.130885,359.42059,143.5580425,258.9014314,529.2135662,331.7535781,490.9706615,327.8235802,487.9065834,487.9065834,523.2909
353.5,9.926813,0.1,Stainless steel ,2.67,2743251,51662145.6,0.05309983,314.4510975,289.560878,280.414504,387.098709,334.0364601,372.2900861,411.2315365,325.487691,143.4545502,249.2839006,495.9843476,315.5758337,490.9706615,275.3354217,323.5688264,323.5688264,343.5689
321.8,4.497781,0.1,Stainless steel ,2.67,2743956,51662145.6,0.05311346,273.7333575,256.986686,236.982248,355.1054234,292.2329137,319.6284757,354.2267005,287.484467,143.3394193,238.5543078,458.8425388,297.477878,490.9706615,275.3354217,323.8636364,323.8636364,346.96777
307.73,1.904639,0.1,Stainless steel ,2.67,2744151,51662145.6,0.05311725,254.2847925,241.427834,216.237112,339.8240376,272.2657203,294.4749983,326.9987095,269.332473,143.2847095,233.445393,441.1313843,288.8416279,490.9706615,275.3354217,330.0675454,330.0675454,346.96777
430.3,14.35594,0.1,Stainless steel ,2.67,2742371,51662145.6,0.05308279,347.66955,316.13564,315.84752,413.1995544,368.140738,415.252618,457.73737,356.49158,143.549083,258.0699223,526.3430039,330.3565139,490.9706615,326.1209443,493.1897174,493.1897174,523.8014
351.92,9.147093,0.1,Stainless steel ,2.67,2743377,51662145.6,0.05310228,308.6031975,284.882558,274.176744,382.503819,328.0326161,364.7268021,403.0444765,320.029651,143.4379652,247.740171,490.6451015,312.975234,490.9706615,294.6607535,434.5924323,434.5924323,433.8063
307.21,5.098822,0.1,Stainless steel ,2.67,2743897,51662145.6,0.05311234,278.241165,260.592932,241.790576,358.647358,296.8609294,325.4585734,360.537631,291.691754,143.3521257,239.7399512,462.9504296,299.4803643,490.9706615,354.3964263,596.1308938,596.1308938,597.39746
