ID,P0,P1,P2,P3,P4,P5,P6,v1,v2,v3
0,22,0.2,0.05,11,0.7,25,13,11938.81,695,4297.57
1,22,0.2,0.05,11,0.7,25,18,11940.07,695,4298.01
2,22,0.2,0.05,11,0.7,25,23,11992.13,673.5,4317.61
3,25,0.05,0.05,14,0.7,28,28,9064.66,35.5,3523.52
4,25,0.05,0.05,14,0.7,28,13,8769.58,71.5,3435.2
5,22,0.2,0.05,11,0.7,25,28,12254.15,625.5,4405.47
6,25,0.05,0.05,14,0.7,28,23,8818.13,60,3450.41
7,25,0.05,0.05,14,0.7,28,18,8770.56,71.5,3435.49
8,22,0.2,0.08,14,0.8,27,28,11366.9,593.5,4329.9
9,22,0.2,0.08,14,0.8,27,23,10960.54,664,4189.39
10,26,0.05,0.05,8,0.7,25,28,8077.36,40.5,2815.97
11,22,0.2,0.08,14,0.8,27,18,10778.24,679.5,4131.81
12,22,0.2,0.08,14,0.8,27,13,10776.27,679.5,4131.11
13,26,0.05,0.08,11,0.8,27,23,6999.54,32,2706.68
14,26,0.05,0.08,11,0.8,27,28,7322.38,4,2798.79
15,26,0.05,0.05,8,0.7,25,13,7802.26,80,2737.86
16,26,0.05,0.05,8,0.7,25,18,7803.02,80,2738.07
17,26,0.05,0.05,8,0.7,25,23,7848.46,68.5,2751.1
18,25,0.1,0.05,11,0.6,28,18,8860.25,95.5,3245.92
19,25,0.1,0.05,11,0.6,28,13,8859.6,95.5,3245.73
20,25,0.1,0.05,11,0.6,28,28,9004.34,58.5,3289.48
21,26,0.05,0.08,11,0.8,27,13,6786.43,42.5,2645.37
22,26,0.05,0.08,11,0.8,27,18,6787.78,42.5,2645.76
23,25,0.1,0.05,11,0.6,28,23,8830.16,81.5,3238.93
24,23,0.2,0.11,11,0.9,26,18,9136.06,514,3352.67
25,23,0.2,0.11,11,0.9,26,23,9501.49,507,3459.36
26,23,0.2,0.11,11,0.9,26,28,10050.64,387.5,3641.83
27,24,0.05,0.05,5,0.9,27,23,9184.71,328,3029.93
28,24,0.05,0.05,5,0.9,27,28,9667.9,167,3177.54
29,23,0.2,0.11,11,0.9,26,13,9133.57,514.5,3351.84
30,26,0.1,0.05,5,0.6,25,13,7909.35,103.5,2556.8
31,26,0.1,0.08,8,0.7,27,28,7325.77,20,2580.36
32,26,0.2,0.14,2,0.8,28,28,7229.31,17.5,2101.06
33,26,0.1,0.05,5,0.6,25,18,7909.87,103.5,2556.95
34,24,0.05,0.05,5,0.9,27,13,8862.6,337.5,2936.41
35,26,0.1,0.05,5,0.6,25,23,7885.16,91.5,2549.66
36,24,0.05,0.05,5,0.9,27,18,8864.48,335.5,2936.97
37,26,0.1,0.05,5,0.6,25,28,8040.42,67,2593.33
38,26,0.1,0.08,8,0.7,27,13,7023.32,61.5,2493.88
39,26,0.1,0.08,8,0.7,27,23,7090.49,52.5,2512.85
40,26,0.1,0.08,8,0.7,27,18,7024.22,61.5,2494.14
41,24,0.1,0.05,2,0.8,27,28,9616.56,228,2942.12
42,26,0.15,0.14,5,0.9,28,23,6653.2,57,2171.11
43,26,0.15,0.14,5,0.9,28,28,7123.82,0,2298.39
44,24,0.1,0.05,2,0.8,27,13,9104.75,397,2790.91
45,24,0.1,0.05,2,0.8,27,18,9106.03,396,2791.3
46,24,0.1,0.05,2,0.8,27,23,9277.44,371.5,2840.5
47,26,0.15,0.08,5,0.6,27,18,7303.53,93,2348.62
48,26,0.15,0.08,5,0.6,27,13,7302.89,92.5,2348.44
49,26,0.15,0.08,5,0.6,27,28,7454.19,52.5,2391.19
50,26,0.15,0.08,5,0.6,27,23,7292.21,77,2345.35
51,26,0.15,0.14,5,0.9,28,13,6271.21,58,2053.76
52,26,0.15,0.14,5,0.9,28,18,6273.01,58,2054.28
53,26,0.2,0.14,2,0.8,28,13,6701.68,88,1950.99
54,26,0.2,0.14,2,0.8,28,23,6906.51,83,2008.06
55,26,0.2,0.14,2,0.8,28,18,6702.97,88,1951.35
56,22,0.15,0.05,14,0.8,25,18,11718.78,667.5,4467
57,22,0.15,0.05,14,0.8,25,13,11717.09,668,4466.4
58,22,0.15,0.05,14,0.8,25,28,12285.42,587,4654.51
59,22,0.15,0.05,14,0.8,25,23,11891.69,648,4520.95
60,26,0.05,0.05,14,0.6,28,18,8080.47,51.5,3197.7
61,26,0.05,0.05,14,0.6,28,23,8053.17,43,3191.47
62,26,0.05,0.05,14,0.6,28,13,8079.9,51.5,3197.53
63,26,0.05,0.05,14,0.6,28,28,8225.79,27.5,3240.61
64,25,0.05,0.05,5,0.8,27,13,8296.01,126,2724
65,25,0.05,0.05,5,0.8,27,18,8297.23,126,2724.36
66,25,0.05,0.05,5,0.8,27,23,8433.5,111.5,2764.51
67,25,0.05,0.05,5,0.8,27,28,8764.29,63.5,2861.05
68,25,0.1,0.05,2,0.7,27,13,8441.62,162,2553.84
69,25,0.2,0.14,2,0.9,28,28,7977.4,21,2343.84
70,25,0.1,0.05,2,0.7,27,23,8484.56,142.5,2566.22
71,25,0.1,0.05,2,0.7,27,18,8442.48,161.5,2554.09
72,26,0.05,0.08,2,0.9,26,13,6245.55,100.5,1920.43
73,26,0.05,0.08,2,0.9,26,18,6247.2,100.5,1920.89
74,25,0.1,0.05,2,0.7,27,28,8714.95,101.5,2632.24
75,26,0.05,0.08,2,0.9,26,23,6652.34,91,2037.21
76,26,0.05,0.08,2,0.9,26,28,7049.41,21,2148.25
77,24,0.2,0.14,14,0.9,28,23,8623.11,295.5,3348.22
78,25,0.2,0.14,2,0.9,28,13,7114.54,149.5,2091.16
79,24,0.2,0.14,14,0.9,28,28,9226.31,162.5,3530.64
80,24,0.2,0.14,14,0.9,28,13,8306.31,287.5,3248.26
81,25,0.2,0.14,2,0.9,28,18,7116.49,148,2091.73
82,25,0.2,0.14,2,0.9,28,23,7504.87,168.5,2202.43
83,24,0.2,0.14,14,0.9,28,18,8308.73,286.5,3249.05
84,26,0.1,0.11,14,0.8,27,28,7294.36,0,2958.58
85,26,0.1,0.08,11,0.7,25,28,7479.13,10,2816.37
86,26,0.1,0.08,11,0.7,25,23,7239.49,36,2746.84
87,26,0.1,0.08,11,0.7,25,18,7172.63,46,2727.57
88,26,0.1,0.08,11,0.7,25,13,7171.69,46,2727.3
89,23,0.1,0.05,11,0.8,28,13,10338.85,522,3796
90,23,0.1,0.05,11,0.8,28,18,10340.34,522,3796.49
91,23,0.1,0.05,11,0.8,28,23,10511.36,499,3847.67
92,23,0.1,0.05,11,0.8,28,28,10881.73,422.5,3966.25
93,24,0.1,0.08,8,0.9,27,23,8401.69,335,2973.55
94,24,0.1,0.08,8,0.9,27,18,8032.82,336.5,2863.07
95,26,0.15,0.08,8,0.6,25,28,7600.06,36.5,2624.06
96,24,0.1,0.08,8,0.9,27,13,8030.76,337,2862.43
97,26,0.15,0.08,8,0.6,25,23,7434.22,57,2576.66
98,26,0.15,0.08,8,0.6,25,18,7443.65,71.5,2579.04
99,24,0.15,0.05,14,0.6,25,28,10252.94,194,3868.47
100,22,0.1,0.05,14,0.9,27,18,11264.53,660,4364.43
101,23,0.15,0.05,8,0.7,28,18,10539.33,559.5,3629.79
102,23,0.15,0.05,8,0.7,28,23,10581.96,531.5,3644.73
103,24,0.15,0.05,14,0.6,25,23,10077.58,265.5,3814.84
104,22,0.1,0.05,14,0.9,27,13,11262.3,660.5,4363.63
105,22,0.1,0.05,14,0.9,27,28,12130.68,569,4649.67
106,23,0.15,0.05,8,0.7,28,28,10839.3,471.5,3725.12
107,24,0.1,0.08,8,0.9,27,28,8888.82,169,3121.87
108,22,0.1,0.05,14,0.9,27,23,11575.69,644.5,4458.91
109,24,0.15,0.05,14,0.6,25,18,10094.27,288.5,3817.48
110,23,0.15,0.05,8,0.7,28,13,10538.25,559.5,3629.44
111,24,0.15,0.05,14,0.6,25,13,10093.52,288.5,3817.24
112,26,0.15,0.08,8,0.6,25,13,7443.01,71,2578.85
113,24,0.15,0.08,5,0.8,27,28,8967.8,224.5,2910
114,24,0.15,0.08,5,0.8,27,23,8618.08,374,2802.72
115,24,0.15,0.08,5,0.8,27,18,8436.81,388.5,2749.71
116,24,0.15,0.08,5,0.8,27,13,8435.31,388.5,2749.26
117,23,0.2,0.05,5,0.6,28,23,10792.02,573.5,3470.02
118,22,0.15,0.05,11,0.8,27,23,11705.58,666,4266.26
119,22,0.15,0.05,11,0.8,27,18,11533.79,687,4212.88
120,23,0.2,0.05,5,0.6,28,28,10962.72,522,3522.68
121,22,0.15,0.05,11,0.8,27,28,12093.86,603,4396.72
122,23,0.2,0.05,5,0.6,28,13,10816.37,595.5,3475.63
123,22,0.15,0.05,11,0.8,27,13,11532.14,687,4212.3
124,23,0.2,0.05,5,0.6,28,18,10817.18,595.5,3475.89
125,25,0.15,0.11,2,0.9,26,23,7361.69,157,2212.53
126,25,0.15,0.11,2,0.9,26,18,7004.58,146,2099.93
127,26,0.05,0.05,5,0.7,27,18,7660.98,96.5,2507.47
128,25,0.15,0.11,2,0.9,26,13,7002.68,146.5,2099.38
129,26,0.05,0.05,5,0.7,27,13,7660.24,96.5,2507.27
130,23,0.15,0.08,8,0.9,26,18,9099.29,545,3197.71
131,24,0.2,0.08,2,0.7,27,18,8822.95,463,2628.15
132,23,0.15,0.08,8,0.9,26,13,9097.01,544,3196.97
133,24,0.2,0.08,2,0.7,27,23,8887.47,439.5,2647.15
