#,P1,P2,P3,P4,P5,P6,v1,v2,v3
0,25,0.2,0.05,5,0.6,13,10271.88,142.5,3136.58
1,25,0.2,0.05,5,0.6,18,10272.65,142.5,3136.79
2,25,0.2,0.05,5,0.6,23,10270.52,120.5,3134.55
3,25,0.2,0.05,5,0.6,28,10448.02,95,3184.45
4,24,0.15,0.08,11,0.7,23,9614.52,314,3417.31
5,24,0.15,0.08,11,0.7,28,9906.66,210.5,3504.29
6,24,0.2,0.08,8,0.6,13,10024.22,382,3285.18
7,23,0.2,0.11,11,0.6,28,10571.05,467.5,3681.37
8,24,0.2,0.08,8,0.6,18,10025.28,381,3285.48
9,23,0.2,0.11,11,0.6,23,10343.49,524,3611.94
10,24,0.2,0.08,8,0.6,23,10047.42,353.5,3290.96
11,24,0.2,0.08,8,0.6,28,10252,268,3350.45
12,23,0.2,0.11,11,0.6,18,10299.31,548.5,3598.43
13,23,0.2,0.11,11,0.6,13,10297.88,548,3598
14,24,0.15,0.08,11,0.7,13,9531.4,332.5,3392.7
15,24,0.15,0.08,11,0.7,18,9532.81,331.5,3393.12
16,23,0.15,0.11,14,0.7,23,9870,492.5,3737.21
17,26,0.1,0.08,14,0.9,28,8527.03,0,3274.79
18,23,0.15,0.11,14,0.7,18,9771.1,511,3705.96
19,26,0.1,0.08,14,0.9,23,8001.96,18.5,3127.44
20,23,0.15,0.11,14,0.7,28,10194.63,420,3838.88
21,22,0.2,0.14,14,0.6,28,11167.97,633.5,4121.07
22,22,0.2,0.14,14,0.6,23,10919.83,682,4040.99
23,26,0.1,0.08,14,0.9,18,7671.54,25.5,3029.79
24,26,0.1,0.08,14,0.9,13,7669.4,25,3029.18
25,22,0.2,0.14,14,0.6,18,10854.21,702.5,4018.64
26,22,0.2,0.14,14,0.6,13,10852.46,702.5,4018.07
27,26,0.15,0.08,11,0.8,23,8406.13,32,2998.72
28,26,0.15,0.08,11,0.8,18,8227.93,42.5,2948.26
29,26,0.15,0.08,11,0.8,13,8226.37,42.5,2947.83
30,23,0.15,0.11,14,0.7,13,9769.3,510,3705.39
31,26,0.15,0.08,11,0.8,28,8791.69,4,3107.47
32,25,0.1,0.11,2,0.6,28,7208.8,88.5,2162.66
33,25,0.1,0.11,2,0.6,18,7009.72,204,2107.84
34,26,0.05,0.08,2,0.7,13,6550.91,114,1993.42
35,25,0.1,0.11,2,0.6,23,7021.47,177.5,2110.17
36,26,0.05,0.08,2,0.7,18,6551.85,113.5,1993.68
37,26,0.05,0.08,2,0.7,23,6615.66,96.5,2011.24
38,25,0.1,0.11,2,0.6,13,7008.79,204,2107.58
39,26,0.05,0.08,2,0.7,28,6861.8,55.5,2079.05
40,25,0.05,0.11,5,0.7,28,6966.86,49,2330.67
41,25,0.15,0.11,14,0.8,18,8456.21,40.5,3231.39
42,25,0.15,0.11,14,0.8,13,8454.29,40.5,3230.83
43,25,0.05,0.11,5,0.7,23,6726.45,117,2263.99
44,25,0.05,0.11,5,0.7,18,6619.77,132,2231.23
45,25,0.05,0.11,5,0.7,13,6618.59,132.5,2230.89
46,25,0.15,0.11,14,0.8,28,9070.78,2,3411.06
