Run,|||Main|||,mdot_model [kg/s],mdot_exper[kg/s],mdot_err[%],P_model [kW],P_exper [kW],P_err [%],Td_model [K],Td_exper [K],Td_err [K],eta_c,eta_v,|||Inputs|||,Ref,Liq,T_in [K],p_in [K],p_out [K], xL [-],omega[rad/s],T_amb [K],p_ratio [-],|||Geometry|||,rb [m],hs [m],phi_i0 [rad],phi_is [rad],phi_ie [rad],phi_o0 [rad],phi_os [rad],phi_oe [rad],Vdisp [m^3],Vratio [-],|||Disc|||,Type,ra_arc1[m],ra_arc2 [m],x_port [m],y_port [m],r_port [m],Cd [-],|||HT|||,Q_scrolls_gas [kW], Q_scroll_inlet [kW],Q_scroll_outlet [kW], Q_scroll_plenum [kW],Q_scroll_amb [kW],T_scroll[K],UA_amb [kW/m^2K],|||Powers|||,P_shaft [kW], P_gas [kW], P_ML [kW], eta_m [-],|||ML|||,P_ML [kW],m [kW], b [-],c [-],P_MLexper [kW],|||Flow|||,A_sa_suct [m^2],Cd_inlet [-],w_ent [-],sigma [-], Z_D [-],L_inlet [m],D_inlet [m],L_flank [m], phi_flank [rad],delta_flank [um], delta_radial [um],FM_flank, FM_radial,FM_suction,FM_discharge,FM_s_sa,FM_d_dd,|||Debug|||,mdot_error [kg/s], wrap_eror [%], Ntheta [-], RunTime [min],|||Losses|||,W_adiabatic [kW], Leakage-Flank [kW], Leakage-Radial [kW], Suction [kW], Discharge [kW],Mechanical [kW]
1,||||||,0.159159414,0.15956,-0.251056509,2.544718697,2.584113,-1.524480661,318.0876683,318.50719,-0.419521737,0.595951843,0.928883839,|||||,N2,Zerol,309.95877,236.70527,719.08413,0.910922071,366.5191,294.831,3.03788813,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.30018846,0.02748644,0.01826417,0,-0.03411409,328.9450896,0.001,||||||,2.544718697,2.192154737,0.38,0.861452678,|||||,0.38,0,0.38,0,0.39195826,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00002752,0.00000005,947,1.44766667,|||||,1.54444596,0.08467399,0.08009435,0.17623874,0.25691283,0.38
2,||||||,0.087494107,0.087494,0.000122276,2.413870877,2.423245,-0.386841743,321.7214959,322.11645,-0.394954144,0.645993017,0.967205797,|||||,N2,Zerol,306.87124,234.85361,714.14522,0.828216899,366.5191,295.22415,3.04081006,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.2981716,0.0289556,0.01420512,0,-0.03836982,333.5939735,0.001,||||||,2.413870877,2.063123193,0.38,0.854694927,|||||,0.38,0,0.38,0,0.36012181,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000425,0.00000632,1491,2.27083333,|||||,1.58923,0.07116663,0.06944468,0.09778342,0.18307612,0.38
3,||||||,0.05280672,0.052752,0.103730877,2.359832833,2.343018,0.717657031,328.6484898,328.90011,-0.251620194,0.669689185,0.978308003,|||||,N2,Zerol,302.85103,234.95948,711.27825,0.706211792,366.5191,295.46904,3.027237931,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.29471886,0.0310643,0.00997216,0,-0.04407076,339.5398011,0.001,||||||,2.359832833,2.011070142,0.38,0.85220873,|||||,0.38,0,0.38,0,0.33194786,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00001209,0.0000027,2161,1.98716667,|||||,1.61325422,0.06455387,0.06436066,0.06235185,0.15405983,0.38
4,||||||,0.165365039,0.164802,0.34164575,3.540629645,3.590015,-1.375630887,326.7610941,327.32534,-0.564245894,0.645020977,0.944475243,|||||,N2,Zerol,315.73728,385.25902,1054.4985,0.860584415,366.5191,295.6639,2.737115668,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.29949183,0.03054873,0.01254302,0,-0.03731251,332.9764119,0.001,||||||,3.540629645,3.191279188,0.38,0.90133098,|||||,0.38,0,0.38,0,0.39873581,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00000016,0.00000858,1397,1.74716667,|||||,2.31502885,0.14865401,0.15108741,0.18990875,0.32416747,0.38
5,||||||,0.096872014,0.096729,0.147849895,3.373116611,3.403861,-0.903221052,331.9362769,332.4729,-0.536623093,0.684146711,0.961490866,|||||,N2,Zerol,312.63324,390.55352,1048.9673,0.748284964,366.5191,295.88229,2.685847768,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.29774724,0.0333313,0.00780344,0,-0.0413105,337.1927944,0.001,||||||,3.373116611,3.026253424,0.38,0.897168338,|||||,0.38,0,0.38,0,0.37760758,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00001475,0.00000788,2111,2.07566667,|||||,2.34248023,0.12889928,0.1342313,0.11437219,0.24943793,0.38
6,||||||,0.062718044,0.062646,0.115000967,3.320519651,3.29162,0.877976517,339.5971309,339.64802,-0.050889119,0.698595539,0.964607777,|||||,N2,Zerol,307.43833,390.00916,1042.348,0.601299092,366.5191,295.98744,2.672624407,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.2948407,0.03694036,0.00239587,0,-0.04566537,341.6528104,0.001,||||||,3.320519651,2.977616978,0.38,0.896732226,|||||,0.38,0,0.38,0,0.31400302,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000026,0.00000208,2911,2.228,|||||,2.35941816,0.11850676,0.12557064,0.07938229,0.2185578,0.38
7,||||||,0.169001285,0.170765,-1.032831612,4.336850252,4.38538,-1.106625826,335.0320936,335.44439,-0.412296389,0.66131833,0.941010514,|||||,N2,Zerol,321.7077,524.03209,1330.3039,0.818452926,366.5191,296.24729,2.538592436,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.29568206,0.03359894,0.00785565,0,-0.04228435,338.5316408,0.001,||||||,4.336850252,3.991024987,0.38,0.920258887,|||||,0.38,0,0.38,0,0.39435501,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000488,0.0000034,1841,2.36533333,|||||,2.90257635,0.20599619,0.21897516,0.19850379,0.38924115,0.38
8,||||||,0.104398504,0.105366,-0.918224189,4.157061667,4.192924,-0.85530606,340.4346648,340.74632,-0.311655156,0.691364127,0.949899624,|||||,N2,Zerol,317.892,534.27693,1323.5219,0.689606518,366.5191,296.47031,2.477220755,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.29441572,0.03748887,0.00257815,0,-0.04548546,341.955769,0.001,||||||,4.157061667,3.814581245,0.38,0.917614784,|||||,0.38,0,0.38,0,0.37834276,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000501,0.00000473,2667,2.11116667,|||||,2.91341517,0.18143956,0.19703837,0.12731154,0.3156341,0.38
9,||||||,0.071484323,0.072044,-0.776854157,4.100168905,4.054164,1.13475687,348.288451,347.84008,0.44837104,0.703317043,0.94997067,|||||,N2,Zerol,312.30018,537.12516,1317.1545,0.533055714,366.5191,296.68619,2.452230128,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.29190378,0.04231796,-0.00347056,0,-0.04905647,345.7426638,0.001,||||||,4.100168905,3.762681107,0.38,0.917689294,|||||,0.38,0,0.38,0,0.29148289,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.000013,0.00000494,3501,2.53233333,|||||,2.92956294,0.16767166,0.18530572,0.09383403,0.2841339,0.38
10,||||||,0.158862617,0.158287,0.363654258,2.596841267,2.656622,-2.250253648,319.8264196,320.38594,-0.559520424,0.592967166,0.924527253,|||||,N2,Zerol,311.58424,224.14663,739.11909,0.916351829,366.5191,297.61113,3.29748027,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.30048019,0.02743169,0.01858742,0,-0.03333449,330.9456239,0.001,||||||,2.596841267,2.244442734,0.38,0.864297238,|||||,0.38,0,0.38,0,0.41217927,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00010038,0.00000268,908,1.04333333,|||||,1.56770169,0.09246417,0.08554126,0.17525143,0.25745793,0.38
11,||||||,0.087770454,0.087775,-0.005179626,2.479643929,2.518035,-1.524644047,323.6378556,324.22882,-0.590964424,0.643656731,0.966055304,|||||,N2,Zerol,308.57409,225.42202,737.3338,0.836772788,366.5191,297.16802,3.270904058,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,1.05E-04,1.612878474,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.5,|||||,0.29830995,0.02885582,0.01418881,0,-0.03837062,335.5386368,0.001,||||||,2.479643929,2.128773465,0.38,0.858499658,|||||,0.38,0,0.38,0,0.38926154,|||||,0.0001108,0.4,0.4,0,10,0.04,0.0188,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00001705,0.00000988,1454,2.0105,|||||,1.62582633,0.07834089,0.07495826,0.09752546,0.187118,0.38
