fileName,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,P_a1,P_a2,P_a3,P_a4,P_a5,P_a6,P_a7,P_a8,P_a9,P_a10,P_a11,P_a12,P_a13,P_a14,P_a16,P_a17,P_a19,P_a20,P_a21,P_a22,P_a23,P_a24,P_a25,P_a26,P_a29,P_a30,P_a31,P_a32,RTD6,RTD7,RTD15,RTD16,RTD17,RTD18,RTD22,RTD23,RTD27,RTD28,RTD29,RTD30,TC6,TC7,TC15,TC16,TC17,TC18,TC22,TC23,TC27,TC28,TC29,TC30,TC_mini6,TC_mini7,TC_mini22,TC_mini23,TC_glycol_return,T_amb,mdot_gas,mdot_glycol_hot,mdot_glycol_cold,Torque_Comp,Torque_Exp,Torque_Motor,Torque_Pump,RPM_Comp,RPM_Exp,RPM_Motor,RPM_Pump,,,Cratio_hot,Cratio_cold,mdot_oil_motor,mdot_oil_pump,mdot_oil_hot,mdot_oil_cold,mdot_oil_hotHX,mdot_oil_coldHX,eta_c_Comp,eta_c_Exp,eta_v_Comp,eta_v_Exp,Power_Comp,Power_Exp,Power_Motor,Power_Pump,Power_Comp_Thermo,Power_Exp_Thermo,Power_Motor_Thermo,Power_Pump_Thermo,eps_Cratio,eps_mdot_oil_hot,eps_mdot_oil_cold,eps_Power_Comp,eps_Power_Exp,vg/vf
,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,kg/s,kg/s,kg/s,N-m,N-m,N-m,N-m,rev/min,rev/min,rev/min,rev/min,,,-,-,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,-,-,-,-,kW,kW,kW,kW,kW,kW,kW,kW,-,kg/s,kg/s,kW,kW,-
2008_01_25A.csv,289.4517,290.3521,290.0852,292.7219,290.508,290.4011,287.4325,308.2405,293.01,304.2995,289.6613,289.3596,289.3904,293.8591,292.3529,286.6096,288.5342,290.1406,310.1751,304.691,309.1176,309.9588,318.3774,310.2107,310.1474,310.3151,292.6392,312.305,318.5072,309.8843,310.2033,309.6256,329.8085,652.6157,647.5644,652.0618,643.6337,633.9103,368.6783,664.3552,665.5169,297.0645,299.2575,334.4203,329.1096,335.8997,350.508,342.9569,296.7576,292.8213,294.0061,236.7053,719.0841,674.1305,320.6813,686.5811,703.6476,693.9344,682.338,680.2511,290.4011,287.4325,294.0974,293.9693,293.949,293.8996,309.9588,318.3774,295.0968,294.6361,294.776,294.815,288.6421,286.528,292.3529,286.6096,288.5342,290.1406,294.8925,294.3862,292.6392,312.305,318.5072,309.8843,290.2471,287.0088,309.9231,318.9722,301.5382,294.831,0.014212,0.046077,0.039437,7.0504,2.0459,0.0059062,3.4165,3500,1735.5635,475.8944,236.2271,,,19.1535,5.8302,0.120690777,0.058122695,0.14535,0.046635,0.13259,0.052104,0.00059891,136.0398,0.93164,1.0486,2.5841,-0.37184,0.00029434,0.084515,2.891,-0.39552,-0.07879,0.094856,0.71295,0.0051378,0.0042431,0.0049853,0.0024719,328.0589
2008_01_25B.csv,288.4484,289.738,289.2185,291.7924,289.8201,289.8477,282.7758,306.2849,291.9705,302.6108,288.6885,288.1895,288.2966,293.8044,292.1322,281.5191,287.305,288.6784,307.3016,303.0558,306.2447,306.8712,321.812,307.3728,307.2849,307.3301,292.4999,312.0331,322.1164,308.6504,307.3869,307.1575,317.283,656.8137,653.1085,657.6701,650.5798,644.3844,345.9248,666.3365,672.1454,276.7901,279.073,319.7435,313.975,319.3561,332.0626,325.2068,275.5865,271.2404,274.5647,234.8536,714.1452,688.6308,288.1617,692.8517,703.5613,698.1683,691.1326,688.2339,289.8477,282.7758,294.2221,294.0598,293.983,293.8709,306.8712,321.812,295.8459,295.0396,295.0671,294.9439,287.2946,281.3485,292.1322,281.5191,287.305,288.6784,295.922,293.7772,292.4999,312.0331,322.1164,308.6504,289.6072,282.7941,306.7335,322.652,300.4948,295.2242,0.015027,0.045927,0.039178,6.6115,2.7027,-0.13359,3.5616,3500,1735.6709,238.3292,116.9522,,,8.9583,2.9238,0.060577831,0.028798051,0.072467,0.024767,0.068813,0.022657,0.00065528,174.9864,0.96726,1.074,2.4232,-0.49124,-0.0033341,0.04362,2.5469,-0.51401,-0.046618,0.068465,0.21819,0.0015474,0.0014539,0.0049852,0.0024721,328.1505
2008_01_25C.csv,288.3814,289.935,289.3765,291.0256,289.9505,290.1355,276.2106,303.0314,291.1078,300.0288,288.3079,288.0811,287.9216,293.7823,291.8079,274.2271,287.2239,287.7499,303.4708,300.4255,302.2311,302.851,328.7218,303.4915,303.4917,303.3843,292.1751,312.3266,328.9001,305.9711,303.4532,303.4953,310.3928,658.7472,655.3444,660.1318,653.6033,649.5634,330.5647,666.9403,675.3627,265.0733,267.7193,311.7936,305.9397,311.4248,321.103,314.9618,264.1896,258.9136,263.2701,234.9595,711.2783,694.7814,271.8357,695.8924,703.9605,700.1818,695.2825,691.8792,290.1355,276.2106,294.3289,294.088,293.9854,293.8452,302.851,328.7218,296.2591,295.2493,295.1773,295.1905,286.8345,273.9668,291.8079,274.2271,287.2239,287.7499,296.4052,293.4772,292.1751,312.3266,328.9001,305.9711,289.8008,276.9053,302.7166,329.6515,299.7319,295.469,0.015493,0.045975,0.039067,6.3926,3.1419,-0.14185,3.7013,3500,1733.8058,115.2498,54.3651,,,4.4198,1.3446,0.029383521,0.013387439,0.037258,0.011734,0.037611,0.0074912,0.0006868,208.4535,0.9767,1.0924,2.343,-0.57045,-0.001712,0.021072,2.4101,-0.59623,-0.01856,0.038252,0.083036,0.0005259,0.00083473,0.0049852,0.0024695,324.7314
2008_01_25D.csv,288.2873,289.3241,288.9787,293.0676,289.8918,289.7919,285.1632,314.1844,293.4768,308.2603,288.3835,288.1797,288.2112,294.2065,293.2577,284.3523,287.3669,289.5008,316.2981,308.9146,314.5106,315.7373,327.0585,316.4623,316.2862,316.779,293.6729,318.9111,327.3253,315.9827,316.4688,315.5927,510.1819,959.1824,952.3808,960.9018,950.1685,935.2051,559.6742,975.3026,984.0065,457.7922,461.1004,514.6402,507.7304,513.3767,534.5923,525.1724,455.6397,450.2049,450.9909,385.259,1054.4985,1004.0715,479.5186,1017.961,1037.8738,1023.0299,1011.8766,1008.7333,289.7919,285.1632,294.6206,294.3151,294.2907,294.2135,315.7373,327.0585,296.2509,295.4085,295.6326,295.3637,287.5048,284.2484,293.2577,284.3523,287.3669,289.5008,296.2319,294.3991,293.6729,318.9111,327.3253,315.9827,289.7295,284.9311,315.7146,327.9186,304.9758,295.6639,0.022972,0.046231,0.03886,9.7949,3.2169,-0.42085,3.7505,3500,1736.3943,475.8535,236.1675,,,11.7369,3.6277,0.120084146,0.058160642,0.14183,0.046984,0.12668,0.051515,0.00064233,155.5214,0.94162,1.1434,3.59,-0.58494,-0.020972,0.092756,4.044,-0.6183,-0.138,0.11399,0.34656,0.0038473,0.0033216,0.0049858,0.0024732,204.3814
2008_01_25E.csv,288.2778,289.5533,289.1587,292.7612,290.2465,290.3956,280.955,312.5165,293.2293,306.9924,288.1772,288.0587,288.0116,294.1294,293.9503,279.6316,287.3078,288.8623,313.5591,307.6192,311.496,312.6332,332.14,313.7751,313.548,313.8778,294.4654,320.4492,332.4729,314.137,313.8265,313.4574,503.5926,959.5128,954.1222,962.2058,953.8228,942.6537,537.5232,982.6671,988.7509,441.5007,445.6502,505.9507,498.8394,504.0769,520.7289,513.7993,439.3099,432.7958,435.9825,390.5535,1048.9673,1018.0729,451.1376,1023.7074,1039.0851,1027.9733,1019.7786,1015.7559,290.3956,280.955,294.6927,294.3663,294.3015,294.1778,312.6332,332.14,296.8041,295.6832,295.6355,295.4062,287.1753,279.4937,293.9503,279.6316,287.3078,288.8623,297.0358,294.0113,294.4654,320.4492,332.4729,314.137,290.2534,281.3039,312.5871,333.1386,305.024,295.8823,0.024342,0.046131,0.038652,9.287,3.8378,-0.54008,3.8726,3500,1735.2271,238.7018,116.7838,,,5.6081,1.6507,0.060366227,0.028760396,0.072387,0.022616,0.068159,0.020448,0.00068653,185.5397,0.96003,1.1888,3.4039,-0.69738,-0.0135,0.047361,3.6311,-0.72486,-0.081055,0.06498,0.12061,0.0012857,0.0012785,0.0049857,0.0024716,200.1206
2008_01_25F.csv,288.4764,290.345,289.8612,292.0367,290.7296,291.0814,274.4016,308.2166,292.3383,303.6913,288.1484,288.2279,287.9794,293.9558,294.077,272.4505,287.8436,288.2869,308.6666,304.2165,306.5224,307.4383,339.4478,308.809,308.768,308.8223,294.4888,321.0638,339.648,309.2464,308.8753,308.78,495.6139,957.2987,952.1746,960.7452,952.5943,944.0115,519.4796,983.0446,987.7975,427.9624,432.6678,497.0734,489.6857,493.9189,508.2892,501.9702,425.8508,418.9061,422.7064,390.0092,1042.348,1020.0536,433.3142,1023.2258,1036.1726,1026.7531,1020.4015,1015.8013,291.0814,274.4016,294.667,294.3088,294.1909,294.0258,307.4383,339.4478,297.1889,295.8066,295.6107,295.3436,287.1101,272.2505,294.077,272.4505,287.8436,288.2869,297.61,293.7324,294.4888,321.0638,339.648,309.2464,290.8721,275.0589,307.406,340.5179,304.6631,295.9874,0.024968,0.046046,0.038902,8.9808,4.2772,-0.5561,4.1028,3500,1732.7434,116.1497,53.1583,,,2.8074,0.67502,0.029489162,0.013089297,0.037678,0.0094683,0.036759,0.0053716,0.00071484,218.8849,0.96282,1.2138,3.2916,-0.7761,-0.006764,0.022839,3.3998,-0.80452,-0.029166,0.037623,0.052559,0.00049609,0.00080496,0.0049856,0.0024682,197.8806
2008_01_25G.csv,289.0802,290.0244,289.7338,295.021,291.0967,291.0221,285.491,320.8577,295.9458,313.0831,288.8396,289.0053,288.8891,294.1376,295.4085,284.6868,288.1072,290.8705,322.6321,313.9336,320.2197,321.7077,335.1616,322.8768,322.6478,323.3974,295.8817,325.7699,335.4444,322.7353,322.8269,322.1799,678.3935,1206.2083,1203.8529,1208.2284,1200.1832,1182.7796,729.6989,1237.3199,1243.2591,606.7122,611.635,682.7182,675.1265,682.6517,704.0704,693.3823,603.5447,596.2072,595.4276,524.0321,1330.3039,1276.6338,625.4591,1288.6765,1313.3224,1297.6517,1282.5206,1277.9629,291.0221,285.491,294.8546,294.4486,294.2524,294.093,321.7077,335.1616,297.662,296.2347,295.4254,295.6672,288.2958,284.5668,295.4085,284.6868,288.1072,290.8705,298.1269,293.8288,295.8817,325.7699,335.4444,322.7353,291.0708,285.5241,321.7336,336.2034,309.4054,296.2473,0.030996,0.045742,0.039299,11.9649,3.9363,-0.75555,4.002,3500,1734.1694,475.7672,236.1299,,,8.7039,2.589,0.119450683,0.058115562,0.13977,0.045089,0.1252,0.052105,0.00066841,159.9629,0.95114,1.2234,4.3854,-0.71484,-0.037643,0.098959,4.9479,-0.75175,-0.17334,0.10606,0.23103,0.003324,0.0029714,0.0049864,0.0024702,152.3733
2008_01_25H.csv,289.5848,290.7962,290.4668,295.1467,292.1234,292.4215,282.1479,318.4652,295.4539,311.4093,289.3302,289.4224,289.346,294.2505,296.2315,280.7904,288.7785,290.7212,319.3208,312.194,316.3057,317.892,340.4311,319.5539,319.349,319.876,296.7691,327.4753,340.7463,318.3993,319.5644,319.3708,676.3864,1203.3178,1201.3592,1207.396,1200.4909,1186.4302,711.3413,1242.241,1246.301,593.2718,598.9752,678.4698,670.4768,677.6562,695.0002,685.6599,590.4821,581.4515,583.8349,534.2769,1323.5219,1287.7785,600.7392,1293.2698,1312.7651,1299.0186,1289.7249,1284.3904,292.4215,282.1479,294.9098,294.4874,294.3268,294.1618,317.892,340.4311,297.894,296.4095,295.7391,295.8387,288.5969,280.653,296.2315,280.7904,288.7785,290.7212,298.4974,293.4549,296.7691,327.4753,340.7463,318.3993,292.3994,282.5637,317.8795,341.5222,309.8078,296.4703,0.032695,0.045577,0.039232,11.4398,4.4591,-0.83625,4.0818,3500,1732.9278,239.0767,117.3959,,,4.2488,1.1091,0.060184123,0.028881783,0.072671,0.020295,0.066767,0.017704,0.00070058,186.5249,0.9586,1.2768,4.1929,-0.8092,-0.020936,0.05018,4.5205,-0.83666,-0.089296,0.057782,0.088064,0.0012004,0.0012153,0.0049862,0.0024685,148.1283
2008_01_25I.csv,289.3994,291.4823,291.2255,294.1675,292.5085,293.0738,275.7956,313.9006,294.4785,307.883,289.1297,289.2977,289.1182,294.3432,296.7895,274.2221,289.5565,290.4247,314.1725,308.5546,311.166,312.3002,347.5441,314.6114,314.3607,314.936,297.3183,327.8027,347.8401,313.2441,314.6708,314.595,669.2395,1200.3711,1199.3581,1204.9992,1199.8632,1188.7123,694.5061,1243.1389,1245.5191,581.8963,588.3662,671.7471,663.1893,669.6083,683.9831,676.9191,578.9085,569.9281,573.5525,537.1252,1317.1545,1291.8453,585.8421,1293.2698,1312.3675,1298.3545,1290.8342,1285.0509,293.0738,275.7956,294.9134,294.5475,294.3406,294.1902,312.3002,347.5441,298.2589,296.619,295.9123,295.9545,288.2761,273.9648,296.7895,274.2221,289.5565,290.4247,299.1198,293.017,297.3183,327.8027,347.8401,313.2441,292.9531,276.3499,312.2978,348.6674,309.6086,296.6862,0.033628,0.045599,0.039131,11.0613,4.9059,-0.87169,4.2784,3500,1733.9458,116.5334,53.6985,,,2.1525,0.39943,0.029451051,0.01321283,0.038416,0.0075045,0.035411,0.002649,0.00072707,220.268,0.95669,1.3046,4.0542,-0.8908,-0.010637,0.024059,4.1997,-0.91776,-0.051201,0.033476,0.041916,0.00051816,0.00079695,0.0049861,0.0024701,145.3946
