gap_meas,gap_calc
0.00003458,0.00004134
0.00003228,0.00003607
0.00002913,0.00003455
0.00004667,0.00004652
0.00004886,0.00004611
0.00004778,0.00004735
0.00005499,0.00005158
0.00005799,0.00005383
0.00005753,0.00005592
0.0000564,0.0000602
0.00005898,0.00005658
0.000057,0.00005096
0.00007487,0.00007225
0.00007254,0.00007024
0.00006877,0.00006941
0.00007473,0.00007258
0.0000791,0.00007725
0.00007314,0.00007568
0.00007444,0.00007503
0.0000773,0.00007447
0.00007687,0.00007491
0.00007934,0.00007983
0.00008223,0.00008165
0.00008188,0.00008397
0.00008245,0.00008409
0.00008581,0.00008798
0.00008629,0.0000916
