Run,|||Main|||,mdot_model [kg/s],mdot_exper[kg/s],mdot_err[%],P_model [kW],P_exper [kW],P_err [%],Td_model [K],Td_exper [K],Td_err [K],eta_c,eta_v,|||Inputs|||,Ref,Liq,T_in [K],p_in [K],p_out [K], xL [-],omega[rad/s],T_amb [K],p_ratio [-],|||Geometry|||,rb [m],hs [m],phi_i0 [rad],phi_is [rad],phi_ie [rad],phi_o0 [rad],phi_os [rad],phi_oe [rad],Vdisp [m^3],Vratio [-],|||Disc|||,Type,ra_arc1[m],ra_arc2 [m],x_port [m],y_port [m],r_port [m],Cd [-],|||HT|||,Q_scrolls_gas [kW], Q_scroll_inlet [kW],Q_scroll_outlet [kW], Q_scroll_plenum [kW],Q_scroll_amb [kW],T_scroll[K],UA_amb [kW/m^2K],|||Powers|||,P_shaft [kW], P_gas [kW], P_ML [kW], eta_m [-],|||ML|||,P_ML [kW],m [kW], b [-],c [-],P_MLexper [kW],|||Flow|||,A_sa_suct [m^2],Cd_inlet [-],w_ent [-],sigma [-], Z_D [-],L_inlet [m],D_inlet [m],L_flank [m], phi_flank [rad],delta_flank [um], delta_radial [um],FM_flank, FM_radial,FM_suction,FM_discharge,FM_s_sa,FM_d_dd,|||Debug|||,mdot_error [kg/s], wrap_eror [%], Ntheta [-], RunTime [min],|||Losses|||,W_adiabatic [kW], Leakage-Flank [kW], Leakage-Radial [kW], Suction [kW], Discharge [kW],Mechanical [kW],
1,||||||,0.159159414235,0.159560000000,-0.251056508705,2.544718697057,2.584113000000,-1.524480660999,318.087668262548,318.507190000000,-0.419521737452,0.595951843041,0.928883838872,|||||,N2,Zerol,309.958770000000,236.705270000000,719.084130000000,0.910922071000,366.519100000000,294.831000000000,3.037888129825,||||||,0.003522000000,0.032890000000,0.198290000000,4.700000000000,15.500000000000,-1.124800000000,1.800000000000,15.500000000000,1.04894e-04,1.612878474196,|||||,ArcLineArc,0.00879625,0.00317889,-0.00700000,-0.00110000,0.00601980,0.5000,|||||,0.30018846,0.02748644,0.01826417,0.00000000,-0.03411409,328.94508958,0.00100000,||||||,2.544718697057,2.192154736774,0.380000000000,0.861452678172,|||||,0.38000000,0.00000000,0.38000000,0.00000000,0.39195826,|||||,0.00011080,0.4000,0.40000000,0.00000000,10.00000000,0.04000000,0.01880000,0.00210000,0.50000000,12.00000000,12.00000000,5,4,3,3,3,3,|||||,-0.00002752,0.00000005,947,1.44766667,|||||,1.54444596,0.08467399,0.08009435,0.17623874,0.25691283,0.38000000,
2,||||||,0.087494106985,0.087494000000,0.000122276434,2.413870876793,2.423245000000,-0.386841743489,321.721495855509,322.116450000000,-0.394954144491,0.645993016960,0.967205797335,|||||,N2,Zerol,306.871240000000,234.853610000000,714.145220000000,0.828216899000,366.519100000000,295.224150000000,3.040810060361,||||||,0.003522000000,0.032890000000,0.198290000000,4.700000000000,15.500000000000,-1.124800000000,1.800000000000,15.500000000000,1.04894e-04,1.612878474196,|||||,ArcLineArc,0.00879625,0.00317889,-0.00700000,-0.00110000,0.00601980,0.5000,|||||,0.29817160,0.02895560,0.01420512,0.00000000,-0.03836982,333.59397348,0.00100000,||||||,2.413870876793,2.063123193221,0.380000000000,0.854694927163,|||||,0.38000000,0.00000000,0.38000000,0.00000000,0.36012181,|||||,0.00011080,0.4000,0.40000000,0.00000000,10.00000000,0.04000000,0.01880000,0.00210000,0.50000000,12.00000000,12.00000000,5,4,3,3,3,3,|||||,-0.00000425,0.00000632,1491,2.27083333,|||||,1.58923000,0.07116663,0.06944468,0.09778342,0.18307612,0.38000000,
3,||||||,0.052806720112,0.052752000000,0.103730877177,2.359832833411,2.343018000000,0.717657030858,328.648489805640,328.900110000000,-0.251620194360,0.669689185497,0.978308003480,|||||,N2,Zerol,302.851030000000,234.959480000000,711.278250000000,0.706211792000,366.519100000000,295.469040000000,3.027237930557,||||||,0.003522000000,0.032890000000,0.198290000000,4.700000000000,15.500000000000,-1.124800000000,1.800000000000,15.500000000000,1.04894e-04,1.612878474196,|||||,ArcLineArc,0.00879625,0.00317889,-0.00700000,-0.00110000,0.00601980,0.5000,|||||,0.29471886,0.03106430,0.00997216,0.00000000,-0.04407076,339.53980114,0.00100000,||||||,2.359832833411,2.011070141520,0.380000000000,0.852208729808,|||||,0.38000000,0.00000000,0.38000000,0.00000000,0.33194786,|||||,0.00011080,0.4000,0.40000000,0.00000000,10.00000000,0.04000000,0.01880000,0.00210000,0.50000000,12.00000000,12.00000000,5,4,3,3,3,3,|||||,-0.00001209,0.00000270,2161,1.98716667,|||||,1.61325422,0.06455387,0.06436066,0.06235185,0.15405983,0.38000000,
4,||||||,0.165365039029,0.164802000000,0.341645750094,3.540629644819,3.590015000000,-1.375630886814,326.761094106083,327.325340000000,-0.564245893917,0.645020977215,0.944475243290,|||||,N2,Zerol,315.737280000000,385.259020000000,1054.498500000000,0.860584415000,366.519100000000,295.663900000000,2.737115668311,||||||,0.003522000000,0.032890000000,0.198290000000,4.700000000000,15.500000000000,-1.124800000000,1.800000000000,15.500000000000,1.04894e-04,1.612878474196,|||||,ArcLineArc,0.00879625,0.00317889,-0.00700000,-0.00110000,0.00601980,0.5000,|||||,0.29949183,0.03054873,0.01254302,0.00000000,-0.03731251,332.97641193,0.00100000,||||||,3.540629644819,3.191279188411,0.380000000000,0.901330980234,|||||,0.38000000,0.00000000,0.38000000,0.00000000,0.39873581,|||||,0.00011080,0.4000,0.40000000,0.00000000,10.00000000,0.04000000,0.01880000,0.00210000,0.50000000,12.00000000,12.00000000,5,4,3,3,3,3,|||||,0.00000016,0.00000858,1397,1.74716667,|||||,2.31502885,0.14865401,0.15108741,0.18990875,0.32416747,0.38000000,
5,||||||,0.096872013725,0.096729000000,0.147849895192,3.373116610876,3.403861000000,-0.903221051752,331.936276906549,332.472900000000,-0.536623093451,0.684146710889,0.961490865867,|||||,N2,Zerol,312.633240000000,390.553520000000,1048.967300000000,0.748284964000,366.519100000000,295.882290000000,2.685847768060,||||||,0.003522000000,0.032890000000,0.198290000000,4.700000000000,15.500000000000,-1.124800000000,1.800000000000,15.500000000000,1.04894e-04,1.612878474196,|||||,ArcLineArc,0.00879625,0.00317889,-0.00700000,-0.00110000,0.00601980,0.5000,|||||,0.29774724,0.03333130,0.00780344,0.00000000,-0.04131050,337.19279442,0.00100000,||||||,3.373116610876,3.026253423562,0.380000000000,0.897168337971,|||||,0.38000000,0.00000000,0.38000000,0.00000000,0.37760758,|||||,0.00011080,0.4000,0.40000000,0.00000000,10.00000000,0.04000000,0.01880000,0.00210000,0.50000000,12.00000000,12.00000000,5,4,3,3,3,3,|||||,-0.00001475,0.00000788,2111,2.07566667,|||||,2.34248023,0.12889928,0.13423130,0.11437219,0.24943793,0.38000000,
6,||||||,0.062718043506,0.062646000000,0.115000967194,3.320519650644,3.291620000000,0.877976517465,339.597130880609,339.648020000000,-0.050889119391,0.698595538971,0.964607776529,|||||,N2,Zerol,307.438330000000,390.009160000000,1042.348000000000,0.601299092000,366.519100000000,295.987440000000,2.672624407078,||||||,0.003522000000,0.032890000000,0.198290000000,4.700000000000,15.500000000000,-1.124800000000,1.800000000000,15.500000000000,1.04894e-04,1.612878474196,|||||,ArcLineArc,0.00879625,0.00317889,-0.00700000,-0.00110000,0.00601980,0.5000,|||||,0.29484070,0.03694036,0.00239587,0.00000000,-0.04566537,341.65281044,0.00100000,||||||,3.320519650644,2.977616978053,0.380000000000,0.896732226077,|||||,0.38000000,0.00000000,0.38000000,0.00000000,0.31400302,|||||,0.00011080,0.4000,0.40000000,0.00000000,10.00000000,0.04000000,0.01880000,0.00210000,0.50000000,12.00000000,12.00000000,5,4,3,3,3,3,|||||,-0.00000026,0.00000208,2911,2.22800000,|||||,2.35941816,0.11850676,0.12557064,0.07938229,0.21855780,0.38000000,
7,||||||,0.169001285098,0.170765000000,-1.032831612139,4.336850252330,4.385380000000,-1.106625826489,335.032093610863,335.444390000000,-0.412296389137,0.661318329951,0.941010514186,|||||,N2,Zerol,321.707700000000,524.032090000000,1330.303900000000,0.818452926000,366.519100000000,296.247290000000,2.538592436200,||||||,0.003522000000,0.032890000000,0.198290000000,4.700000000000,15.500000000000,-1.124800000000,1.800000000000,15.500000000000,1.04894e-04,1.612878474196,|||||,ArcLineArc,0.00879625,0.00317889,-0.00700000,-0.00110000,0.00601980,0.5000,|||||,0.29568206,0.03359894,0.00785565,0.00000000,-0.04228435,338.53164083,0.00100000,||||||,4.336850252330,3.991024987078,0.380000000000,0.920258887181,|||||,0.38000000,0.00000000,0.38000000,0.00000000,0.39435501,|||||,0.00011080,0.4000,0.40000000,0.00000000,10.00000000,0.04000000,0.01880000,0.00210000,0.50000000,12.00000000,12.00000000,5,4,3,3,3,3,|||||,-0.00000488,0.00000340,1841,2.36533333,|||||,2.90257635,0.20599619,0.21897516,0.19850379,0.38924115,0.38000000,
8,||||||,0.104398503902,0.105366000000,-0.918224188511,4.157061666931,4.192924000000,-0.855306060130,340.434664843536,340.746320000000,-0.311655156464,0.691364126624,0.949899624312,|||||,N2,Zerol,317.892000000000,534.276930000000,1323.521900000000,0.689606518000,366.519100000000,296.470310000000,2.477220755162,||||||,0.003522000000,0.032890000000,0.198290000000,4.700000000000,15.500000000000,-1.124800000000,1.800000000000,15.500000000000,1.04894e-04,1.612878474196,|||||,ArcLineArc,0.00879625,0.00317889,-0.00700000,-0.00110000,0.00601980,0.5000,|||||,0.29441572,0.03748887,0.00257815,0.00000000,-0.04548546,341.95576903,0.00100000,||||||,4.157061666931,3.814581244665,0.380000000000,0.917614784262,|||||,0.38000000,0.00000000,0.38000000,0.00000000,0.37834276,|||||,0.00011080,0.4000,0.40000000,0.00000000,10.00000000,0.04000000,0.01880000,0.00210000,0.50000000,12.00000000,12.00000000,5,4,3,3,3,3,|||||,-0.00000501,0.00000473,2667,2.11116667,|||||,2.91341517,0.18143956,0.19703837,0.12731154,0.31563410,0.38000000,
9,||||||,0.071484323191,0.072044000000,-0.776854156913,4.100168904512,4.054164000000,1.134756870033,348.288451040099,347.840080000000,0.448371040099,0.703317043426,0.949970669974,|||||,N2,Zerol,312.300180000000,537.125160000000,1317.154500000000,0.533055714000,366.519100000000,296.686190000000,2.452230128263,||||||,0.003522000000,0.032890000000,0.198290000000,4.700000000000,15.500000000000,-1.124800000000,1.800000000000,15.500000000000,1.04894e-04,1.612878474196,|||||,ArcLineArc,0.00879625,0.00317889,-0.00700000,-0.00110000,0.00601980,0.5000,|||||,0.29190378,0.04231796,-0.00347056,0.00000000,-0.04905647,345.74266375,0.00100000,||||||,4.100168904512,3.762681107397,0.380000000000,0.917689294033,|||||,0.38000000,0.00000000,0.38000000,0.00000000,0.29148289,|||||,0.00011080,0.4000,0.40000000,0.00000000,10.00000000,0.04000000,0.01880000,0.00210000,0.50000000,12.00000000,12.00000000,5,4,3,3,3,3,|||||,0.00001300,0.00000494,3501,2.53233333,|||||,2.92956294,0.16767166,0.18530572,0.09383403,0.28413390,0.38000000,
10,||||||,0.158862617415,0.158287000000,0.363654258020,2.596841266529,2.656622000000,-2.250253648092,319.826419576101,320.385940000000,-0.559520423899,0.592967166445,0.924527252712,|||||,N2,Zerol,311.584240000000,224.146630000000,739.119090000000,0.916351829000,366.519100000000,297.611130000000,3.297480269947,||||||,0.003522000000,0.032890000000,0.198290000000,4.700000000000,15.500000000000,-1.124800000000,1.800000000000,15.500000000000,1.04894e-04,1.612878474196,|||||,ArcLineArc,0.00879625,0.00317889,-0.00700000,-0.00110000,0.00601980,0.5000,|||||,0.30048019,0.02743169,0.01858742,0.00000000,-0.03333449,330.94562389,0.00100000,||||||,2.596841266529,2.244442734107,0.380000000000,0.864297237970,|||||,0.38000000,0.00000000,0.38000000,0.00000000,0.41217927,|||||,0.00011080,0.4000,0.40000000,0.00000000,10.00000000,0.04000000,0.01880000,0.00210000,0.50000000,12.00000000,12.00000000,5,4,3,3,3,3,|||||,-0.00010038,0.00000268,908,1.04333333,|||||,1.56770169,0.09246417,0.08554126,0.17525143,0.25745793,0.38000000,
