Run,|||Main|||,mdot_model [kg/s],mdot_exper[kg/s],mdot_err[%],P_model [kW],P_exper [kW],P_Mlexper [kW],P_err [%],Td_model [K],Td_exper [K],Td_err [K],eta_c,eta_v,|||Inputs|||,Ref,Liq,T_in [K],p_in [K],p_out [K], xL [-],omega[rad/s],T_amb [K],|||Geometry|||,rb [m],hs [m],phi_i0 [rad],phi_is [rad],phi_ie [rad],phi_o0 [rad],phi_os [rad],phi_oe [rad],|||Disc|||,Type,ra_arc1[m],ra_arc2 [m],x_port [m],y_port [m],r_port [m],Cd [-],|||HT|||,Q_scrolls_gas [kW], Q_scroll_inlet [kW],Q_scroll_outlet [kW], Q_scroll_plenum [kW],Q_scroll_amb [kW],T_scroll[K],UA_amb [kW/m^2K],|||Powers|||,P_shaft [kW], P_gas [kW], P_ML [kW], eta_m [-],|||ML|||,P_ML [kW],m [kW], b [-],c [-],|||Flow|||,A_sa_suct [-],w_ent [-],sigma [-], Z_D [-],L_inlet [m],D_inlet [m],L_flank [m], phi_flank [rad],delta_flank [um], delta_radial [um],FM_flank, FM_radial,FM_suction,FM_discharge,FM_s_sa,FM_d_dd,|||Debug|||,mdot_error [kg/s], wrap_eror [%], Ntheta [-], RunTime [min],|||Losses|||,W_adiabatic [kW], Leakage-Flank [kW], Leakage-Radial [kW], Suction [kW], Discharge [kW],Mechanical [kW]
1,||||||,0.159198438,0.15956,-0.226599463,2.442654726,2.584113,0.457617458,-5.474152019,317.7577516,318.50719,-0.749438446,0.621012254,0.929111422,|||||,N2,Zerol,309.95877,236.70527,719.08413,0.910922071,366.5191,294.831,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.26657668,0.02747146,0.01735583,-1.#QNAN000,-0.03222625,327.05725,0.001,||||||,2.442654726,2.126495542,0.343900016,0.870567387,|||||,0.34390002,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00003631,0.00000683,970,1.62941667,|||||,1.54482437,0.07832435,0.07507625,0.17632085,0.20910775,0.34390002
2,||||||,0.087509297,0.087494,0.017483778,2.35126974,2.423245,0.392439091,-2.970201509,321.3515667,322.11645,-0.764883332,0.663022201,0.967387156,|||||,N2,Zerol,306.87124,234.85361,714.14522,0.828216899,366.5191,295.22415,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.27068903,0.02962996,0.0134851,-1.#QNAN000,-0.03628809,331.5122376,0.001,||||||,2.35126974,2.030805909,0.350250373,0.863706054,|||||,0.35025037,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000824,0.00000077,1514,2.31823333,|||||,1.58952755,0.06802485,0.06684522,0.09781608,0.15596732,0.35025037
3,||||||,0.052816731,0.052752,0.122707981,2.311714154,2.343018,0.351667468,-1.336048029,328.1706804,328.90011,-0.729429648,0.68328855,0.978533381,|||||,N2,Zerol,302.85103,234.95948,711.27825,0.706211792,366.5191,295.46904,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.26971086,0.03215607,0.00904335,-1.#QNAN000,-0.04160843,337.0774692,0.001,||||||,2.311714154,1.991350532,0.352868794,0.861417286,|||||,0.35286879,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000587,0.00000261,2185,2.79843333,|||||,1.61362431,0.06271163,0.06277863,0.06240533,0.13635028,0.35286879
4,||||||,0.165470045,0.164802,0.405362397,3.356432198,3.590015,0.486250322,-6.506457542,326.1841598,327.32534,-1.141180233,0.682171586,0.945032489,|||||,N2,Zerol,315.73728,385.25902,1054.4985,0.860584415,366.5191,295.6639,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.21295432,0.02613318,0.00635336,-1.#QNAN000,-0.03335762,329.021521,0.001,||||||,3.356432198,3.103764678,0.279044419,0.924721399,|||||,0.27904442,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00001738,0.00000544,1416,2.64686667,|||||,2.31639718,0.13971523,0.14311286,0.1901317,0.26180259,0.27904442
5,||||||,0.096940834,0.096729,0.218996931,3.240094812,3.403861,0.42098247,-4.811189062,331.2013703,332.4729,-1.271529743,0.713843732,0.962108998,|||||,N2,Zerol,312.63324,390.55352,1048.9673,0.748284964,366.5191,295.88229,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.21872875,0.02977681,0.00197082,-1.#QNAN000,-0.03651602,332.3983064,0.001,||||||,3.240094812,2.98287853,0.287066921,0.920614582,|||||,0.28706692,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000264,0.00000452,2121,2.4047,|||||,2.34398967,0.12369497,0.12934699,0.11454295,0.20730479,0.28706692
6,||||||,0.062780794,0.062646,0.215166988,3.19891778,3.29162,0.348472221,-2.816309904,338.4935311,339.64802,-1.154488898,0.72682893,0.96547693,|||||,N2,Zerol,307.43833,390.00916,1042.348,0.601299092,366.5191,295.98744,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.21956301,0.03392863,-0.00355009,-1.#QNAN000,-0.0397586,335.7460394,0.001,||||||,3.19891778,2.943147779,0.289703617,0.920044834,|||||,0.28970362,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.0000091,0.00000346,2921,3.19323333,|||||,2.36155017,0.11494759,0.12207007,0.07955671,0.18530078,0.28970362
7,||||||,0.169177982,0.170765,-0.929357746,4.098366457,4.38538,0.487537763,-6.544781596,334.2947477,335.44439,-1.149642342,0.702481445,0.941920485,|||||,N2,Zerol,321.7077,524.03209,1330.3039,0.818452926,366.5191,296.24729,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.16605352,0.0256419,-0.00255118,-1.#QNAN000,-0.03702327,333.2705618,0.001,||||||,4.098366457,3.897842237,0.226346169,0.95107216,|||||,0.22634617,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00000612,0.0000024,1851,2.70183333,|||||,2.90538845,0.19447679,0.20788316,0.19885607,0.3119386,0.22634617
8,||||||,0.104528935,0.105366,-0.794435598,3.962410425,4.192924,0.435787588,-5.49768073,339.4061448,340.74632,-1.340175171,0.728012238,0.950968589,|||||,N2,Zerol,317.892,534.27693,1323.5219,0.689606518,366.5191,296.47031,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.1735557,0.03048169,-0.00731952,-1.#QNAN000,-0.0390423,335.5126061,0.001,||||||,3.962410425,3.757136412,0.235683986,0.948194662,|||||,0.23568399,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00001591,0.0000051,2673,2.57318333,|||||,2.91670198,0.17387895,0.18939594,0.12763359,0.25678433,0.23568399
9,||||||,0.071606877,0.072044,-0.606744845,3.89926679,4.054164,0.359133517,-3.820694223,346.6000351,347.84008,-1.240044935,0.742483537,0.951420298,|||||,N2,Zerol,312.30018,537.12516,1317.1545,0.533055714,366.5191,296.68619,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.17630658,0.03590511,-0.01322318,-1.#QNAN000,-0.04116323,337.8494183,0.001,||||||,3.89926679,3.695030483,0.239805591,0.947621869,|||||,0.23980559,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,0.00000441,0.00000556,3528,3.9414,|||||,2.93404776,0.1620479,0.1793384,0.09415423,0.23209405,0.23980559
10,||||||,0.158898935,0.158287,0.386598152,2.50180399,2.656622,0.467599705,-5.827626573,319.5223808,320.38594,-0.863559222,0.615737867,0.924736062,|||||,N2,Zerol,311.58424,224.14663,739.11909,0.916351829,366.5191,297.61113,||||||,0.003522,0.03289,0.19829,4.7,15.5,-1.1248,1.8,15.5,|||||,ArcLineArc,0.00879625,0.00317889,-0.007,-0.0011,0.0060198,0.6,|||||,0.26420226,0.02717048,0.01732597,-1.#QNAN000,-0.03125327,328.8643961,0.001,||||||,2.50180399,2.189022295,0.339750484,0.874977537,|||||,0.33975048,-0.06636411,0.485023,0,|||||,0.0001108,0.4,0,10,0.04,0.0165,0.0021,0.5,12,12,5,4,3,3,3,3,|||||,-0.00030334,0.0000003,940,1.73958333,|||||,1.56805587,0.08596332,0.08056765,0.1753308,0.2142661,0.33975048
